"study","college","origin","distance","area","washroom","rent","neighborhood","course"
"Undergrad","Education","Saskatchewan","15-30 minutes",24,0,610,"2016","EDU-U-021"
"Undergrad","Engineering","International","30-45 minutes",36,1,1820,"1010","ENG-U-023"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25,0,450,"1053","ASC-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",29,1,740,"2021","ASC-U-128"
"Undergrad","Arts and Science","International","15-30 minutes",22,0,630,"2030","ASC-U-032"
"Undergrad","Agriculture & Bioresources","Out of Province","15-30 minutes",25,1,800,"2012","AGR-U-007"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",26,0,540,"2024","ASC-U-016"
"Undergrad","Law","Saskatchewan","30-45 minutes",20,0,430,"1019","LAW-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",29,0,580,"2002","ASC-U-022"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",35.5,0,610,"0020","ASC-U-038"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26.5,1,660,"1039","ASC-U-065"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24.5,0,460,"1030","ASC-U-061"
"Med Residents","Medicine","International","more than 45 minutes",31,0,370,"0002","MED-M-002"
"Undergrad","Arts and Science","International","more than 45 minutes",28.5,0,610,"0020","ASC-U-004"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30,0,570,"1005","ASC-U-031"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",39.5,1,1670,"1019","ASC-U-107"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",38.5,0,890,"1014","ASC-U-003"
"Med Residents","Medicine","Saskatchewan","more than 45 minutes",33,0,430,"0014","MED-M-002"
"Undergrad","Engineering","Out of Province","30-45 minutes",28.5,0,740,"1021","ENG-U-017"
"Undergrad","Business","Saskatchewan","15-30 minutes",22.5,1,700,"2026","BUS-U-026"
"Grad","Arts and Science","Saskatchewan","30-45 minutes",30,0,590,"1034","ASC-G-006"
"Grad","Environment & Sustainability","Out of Province","15-30 minutes",18,0,580,"2001","ENV-G-002"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",36,0,580,"0014","ASC-U-022"
"Undergrad","Dentistry","Saskatchewan","30-45 minutes",32.5,0,720,"1034","DEN-U-004"
"Undergrad","Nursing","International","more than 45 minutes",32.5,1,690,"0016","NUR-U-020"
"Undergrad","Arts and Science","International","30-45 minutes",24.5,1,670,"1020","ASC-U-051"
"Undergrad","Business","Saskatchewan","15-30 minutes",31.5,0,760,"2001","BUS-U-028"
"Grad","Public Policy","International","more than 45 minutes",38.5,1,780,"0013","POL-G-003"
"Med Residents","Medicine","Out of Province","15-30 minutes",24,0,540,"2011","MED-M-008"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",27,0,640,"2024","ASC-U-126"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",23,0,730,"1011","ASC-U-061"
"Undergrad","Engineering","Out of Province","less than 15 minutes",33.5,0,720,"3009","ENG-U-022"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",27,0,840,"3005","ASC-U-084"
"Undergrad","Business","Saskatchewan","more than 45 minutes",32,0,620,"0001","BUS-U-014"
"Undergrad","Education","Saskatchewan","30-45 minutes",21,0,740,"1007","EDU-U-006"
"Undergrad","Business","Saskatchewan","less than 15 minutes",28.5,0,790,"3010","BUS-U-012"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",28.5,1,900,"3004","ASC-U-081"
"Undergrad","Nursing","Saskatchewan","less than 15 minutes",32,0,810,"3003","NUR-U-017"
"Undergrad","Arts and Science","International","15-30 minutes",22.5,0,700,"2011","ASC-U-007"
"Grad","Education","Out of Province","15-30 minutes",25,1,670,"2026","EDU-G-008"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",46,0,1140,"2013","ASC-U-066"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33.5,0,810,"1032","ASC-U-106"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27,0,660,"1008","ASC-U-054"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",22.5,1,470,"0019","ASC-U-041"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",28,0,600,"2015","KIN-U-010"
"Grad","Engineering","Out of Province","30-45 minutes",21,1,570,"1054","ENG-G-003"
"Grad","Nursing","Saskatchewan","more than 45 minutes",24,0,590,"0013","NUR-G-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",31.5,0,500,"1008","ASC-U-077"
"Undergrad","Nursing","Saskatchewan","15-30 minutes",30,0,1110,"2016","NUR-U-007"
"Grad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",34,1,700,"0006","AGR-G-003"
"Undergrad","Education","Saskatchewan","15-30 minutes",49,1,1330,"2008","EDU-U-021"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",27,1,1160,"2028","ASC-U-109"
"Undergrad","Arts and Science","International","30-45 minutes",24.5,1,690,"1021","ASC-U-055"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",34.5,0,1110,"2001","ASC-U-038"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",30,0,520,"1050","KIN-U-001"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",32.5,1,830,"1051","ENG-U-013"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",22,1,620,"1033","ASC-U-097"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",34.5,0,750,"0018","NUR-U-019"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",24,0,690,"2027","AGR-U-020"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24,0,550,"1023","ASC-U-133"
"Undergrad","Dentistry","Out of Province","30-45 minutes",21.5,1,640,"1027","DEN-U-003"
"Undergrad","Law","Saskatchewan","30-45 minutes",50,1,1260,"1017","LAW-U-001"
"Undergrad","Business","Out of Province","15-30 minutes",33,0,750,"2007","BUS-U-040"
"Undergrad","Business","Saskatchewan","30-45 minutes",35.5,1,840,"1013","BUS-U-006"
"Undergrad","Business","Saskatchewan","30-45 minutes",20.5,0,400,"1025","BUS-U-030"
"Undergrad","Veterinary Medicine","Saskatchewan","less than 15 minutes",26.5,0,780,"3009","VET-U-002"
"Undergrad","Engineering","International","30-45 minutes",31.5,1,1310,"1008","ENG-U-017"
"Undergrad","Nursing","International","30-45 minutes",28.5,0,640,"1009","NUR-U-006"
"Grad","Public Policy","Out of Province","30-45 minutes",21.5,0,440,"1021","POL-G-001"
"Undergrad","Education","Saskatchewan","30-45 minutes",31,0,580,"1006","EDU-U-006"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26.5,0,680,"1001","ASC-U-014"
"Grad","Arts and Science","Out of Province","more than 45 minutes",32,1,620,"0010","ASC-G-011"
"Grad","Veterinary Medicine","Saskatchewan","more than 45 minutes",54,0,1040,"0005","VET-G-005"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",37,1,790,"1051","ASC-U-022"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",28.5,0,470,"0021","ASC-U-132"
"Grad","Engineering","Out of Province","more than 45 minutes",40.5,0,820,"0020","ENG-G-001"
"Grad","Arts and Science","Saskatchewan","15-30 minutes",28.5,0,520,"2003","ASC-G-014"
"Undergrad","Arts and Science","International","less than 15 minutes",29,1,790,"3005","ASC-U-093"
"Undergrad","Education","Saskatchewan","30-45 minutes",26,0,480,"1048","EDU-U-013"
"Undergrad","Business","Saskatchewan","less than 15 minutes",32.5,0,1080,"3002","BUS-U-025"
"Undergrad","Engineering","Out of Province","15-30 minutes",26.5,0,610,"2024","ENG-U-002"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",17.5,1,610,"2003","ASC-U-016"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",29.5,0,770,"1042","ENG-U-017"
"Undergrad","Business","Out of Province","15-30 minutes",27.5,0,740,"2034","BUS-U-019"
"Undergrad","Education","Saskatchewan","15-30 minutes",29.5,0,600,"2017","EDU-U-018"
"Undergrad","Education","Saskatchewan","30-45 minutes",37,0,820,"1002","EDU-U-012"
"Undergrad","Business","Saskatchewan","less than 15 minutes",35,1,1140,"3004","BUS-U-020"
"Undergrad","Arts and Science","International","30-45 minutes",46.5,0,710,"1046","ASC-U-022"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30,0,650,"2009","ASC-U-043"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",29.5,1,870,"2030","ENG-U-006"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",24,0,460,"1014","ASC-U-031"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",24.5,1,760,"2023","ASC-U-119"
"Med Residents","Medicine","Saskatchewan","more than 45 minutes",28,1,700,"0003","MED-M-009"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27.5,1,730,"1044","ASC-U-067"
"Grad","Veterinary Medicine","International","more than 45 minutes",31.5,0,560,"0018","VET-G-001"
"Undergrad","Education","International","30-45 minutes",45,0,1240,"1014","EDU-U-010"
"Undergrad","Education","Saskatchewan","more than 45 minutes",32.5,1,610,"0011","EDU-U-014"
"Undergrad","Business","International","30-45 minutes",37.5,1,820,"1026","BUS-U-015"
"Grad","Others","International","more than 45 minutes",25,1,610,"0004","OTH-G-001"
"Grad","Medicine","Saskatchewan","15-30 minutes",38.5,1,1450,"2023","MED-G-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",23.5,0,650,"2012","ASC-U-040"
"Undergrad","Law","Saskatchewan","15-30 minutes",36.5,0,840,"2036","LAW-U-005"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",46,0,960,"2020","ASC-U-084"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",24,0,350,"0012","ASC-U-077"
"Grad","Pharmacy & Nutrition","Out of Province","30-45 minutes",23,0,650,"1033","PHARM-G-002"
"Undergrad","Law","Saskatchewan","more than 45 minutes",30,0,680,"0009","LAW-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",31.5,0,530,"2034","ASC-U-096"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",38.5,0,810,"1007","ENG-U-012"
"Undergrad","Arts and Science","International","30-45 minutes",45.5,1,890,"1036","ASC-U-022"
"Grad","Education","Out of Province","15-30 minutes",30,0,870,"2013","EDU-G-001"
"Undergrad","Business","Saskatchewan","30-45 minutes",35.5,1,1360,"1040","BUS-U-032"
"Grad","Education","Saskatchewan","more than 45 minutes",39,1,690,"0014","EDU-G-007"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",19,0,470,"1033","AGR-U-023"
"Undergrad","Engineering","International","more than 45 minutes",36,1,700,"0014","ENG-U-021"
"Undergrad","Arts and Science","International","15-30 minutes",39,0,1580,"2001","ASC-U-104"
"Grad","Nursing","Saskatchewan","more than 45 minutes",33,1,690,"0014","NUR-G-003"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",34.5,0,830,"2027","ENG-U-017"
"Undergrad","Agriculture & Bioresources","International","30-45 minutes",22,0,440,"1047","AGR-U-008"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",28,0,660,"2006","ASC-U-079"
"Undergrad","Arts and Science","International","30-45 minutes",38,0,670,"1011","ASC-U-138"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",33.5,0,580,"0017","ASC-U-077"
"Undergrad","Nursing","Out of Province","more than 45 minutes",22,1,420,"0013","NUR-U-008"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",20,0,480,"1005","ASC-U-101"
"Undergrad","Agriculture & Bioresources","Saskatchewan","less than 15 minutes",32,1,900,"3006","AGR-U-004"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",30,1,850,"2020","ASC-U-101"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",26,0,630,"2016","ASC-U-101"
"Undergrad","Engineering","Out of Province","15-30 minutes",21,0,690,"2020","ENG-U-023"
"Undergrad","Nursing","Saskatchewan","less than 15 minutes",36.5,1,1270,"3009","NUR-U-009"
"Undergrad","Business","Saskatchewan","15-30 minutes",33.5,1,910,"2006","BUS-U-025"
"Undergrad","Education","Saskatchewan","30-45 minutes",46.5,1,1030,"1029","EDU-U-012"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",22,0,540,"2014","AGR-U-020"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",28.5,1,810,"0012","ASC-U-130"
"Undergrad","Arts and Science","International","30-45 minutes",23,1,770,"1034","ASC-U-019"
"Grad","Medicine","Saskatchewan","30-45 minutes",32.5,0,620,"1030","MED-G-004"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",49,0,670,"1025","ASC-U-127"
"Undergrad","Business","International","15-30 minutes",25,1,880,"2010","BUS-U-013"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",24.5,1,670,"0009","ASC-U-077"
"Undergrad","Business","International","15-30 minutes",25,0,770,"2032","BUS-U-005"
"Undergrad","Medicine","Saskatchewan","more than 45 minutes",40.5,1,870,"0014","MED-U-005"
"Grad","Arts and Science","Out of Province","more than 45 minutes",33.5,0,720,"0013","ASC-G-009"
"Undergrad","Dentistry","Saskatchewan","30-45 minutes",24.5,0,520,"1002","DEN-U-002"
"Undergrad","Nursing","Saskatchewan","more than 45 minutes",35.5,0,490,"0008","NUR-U-016"
"Grad","Veterinary Medicine","Saskatchewan","30-45 minutes",33.5,0,690,"1010","VET-G-004"
"Grad","Dentistry","International","15-30 minutes",27.5,0,760,"2031","DEN-G-001"
"Undergrad","Law","Saskatchewan","30-45 minutes",28,0,410,"1034","LAW-U-001"
"Undergrad","Medicine","Saskatchewan","15-30 minutes",41.5,1,1830,"2031","MED-U-003"
"Undergrad","Engineering","International","30-45 minutes",35,0,800,"1007","ENG-U-012"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",44.5,1,1780,"2008","ASC-U-002"
"Undergrad","Medicine","Out of Province","15-30 minutes",40,0,1290,"2023","MED-U-001"
"Undergrad","Engineering","Out of Province","more than 45 minutes",28,0,370,"0005","ENG-U-007"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",30,1,510,"0003","ASC-U-028"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",39.5,0,910,"2004","ASC-U-045"
"Grad","Public Policy","Saskatchewan","30-45 minutes",25,0,450,"1002","POL-G-001"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",36.5,0,650,"0011","ASC-U-065"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",45,1,1060,"0016","ASC-U-077"
"Undergrad","Education","Saskatchewan","30-45 minutes",34,0,730,"1048","EDU-U-018"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",29,0,560,"1031","AGR-U-018"
"Undergrad","Business","Saskatchewan","30-45 minutes",21.5,1,660,"1029","BUS-U-032"
"Undergrad","Education","Saskatchewan","15-30 minutes",24.5,0,680,"2001","EDU-U-002"
"Grad","Others","Saskatchewan","30-45 minutes",18,1,410,"1011","OTH-G-001"
"Undergrad","Business","Saskatchewan","30-45 minutes",44,0,900,"1021","BUS-U-019"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",26.5,1,1830,"2013","ENG-U-019"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",37.5,0,800,"1020","AGR-U-021"
"Undergrad","Pharmacy & Nutrition","Saskatchewan","less than 15 minutes",27.5,0,750,"3002","PHARM-U-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",20.5,1,680,"2026","ASC-U-094"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",24,0,370,"0009","ASC-U-027"
"Undergrad","Arts and Science","International","15-30 minutes",19.5,1,690,"2031","ASC-U-020"
"Undergrad","Arts and Science","International","30-45 minutes",27,0,480,"1026","ASC-U-116"
"Undergrad","Veterinary Medicine","Saskatchewan","less than 15 minutes",29,0,840,"3007","VET-U-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",33,0,620,"1036","ASC-U-077"
"Undergrad","Education","Out of Province","15-30 minutes",25,0,760,"2007","EDU-U-022"
"Undergrad","Nursing","International","30-45 minutes",26.5,0,580,"1036","NUR-U-005"
"Undergrad","Nursing","Saskatchewan","30-45 minutes",28.5,1,1030,"1012","NUR-U-020"
"Grad","Public Policy","Saskatchewan","15-30 minutes",25.5,0,530,"2032","POL-G-003"
"Grad","Veterinary Medicine","Saskatchewan","less than 15 minutes",24,0,740,"3008","VET-G-005"
"Grad","Arts and Science","Saskatchewan","more than 45 minutes",26,1,560,"0012","ASC-G-001"
"Undergrad","Agriculture & Bioresources","Saskatchewan","15-30 minutes",19.5,1,710,"2020","AGR-U-019"
"Undergrad","Business","Out of Province","more than 45 minutes",26.5,0,520,"0004","BUS-U-025"
"Grad","Medicine","International","15-30 minutes",27,0,800,"2031","MED-G-001"
"Undergrad","Business","Saskatchewan","15-30 minutes",38,1,1490,"2032","BUS-U-026"
"Undergrad","Arts and Science","International","more than 45 minutes",40,0,620,"0020","ASC-U-040"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",15.5,1,390,"1044","ASC-U-057"
"Undergrad","Kinesiology","Saskatchewan","15-30 minutes",41.5,0,750,"2025","KIN-U-003"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",33,0,700,"2016","ENG-U-017"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",34.5,0,760,"2022","ASC-U-057"
"Undergrad","Business","Saskatchewan","less than 15 minutes",42,0,1450,"3009","BUS-U-030"
"Undergrad","Arts and Science","International","more than 45 minutes",32.5,1,590,"0021","ASC-U-115"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",23,0,550,"0014","ASC-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",34.5,0,770,"2018","ASC-U-055"
"Grad","Public Policy","Saskatchewan","15-30 minutes",42.5,0,750,"2014","POL-G-003"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",36.5,1,840,"1031","ASC-U-052"
"Grad","Environment & Sustainability","Saskatchewan","30-45 minutes",48,0,1220,"1023","ENV-G-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",35.5,1,1080,"2004","ASC-U-097"
"Undergrad","Business","Saskatchewan","15-30 minutes",25.5,0,640,"2034","BUS-U-002"
"Grad","Environment & Sustainability","Saskatchewan","15-30 minutes",34,1,880,"2010","ENV-G-003"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",29,1,800,"0008","ASC-U-089"
"Undergrad","Law","Saskatchewan","30-45 minutes",33,0,600,"1014","LAW-U-005"
"Undergrad","Education","Out of Province","30-45 minutes",46,0,840,"1034","EDU-U-016"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",36,1,1000,"2003","ASC-U-078"
"Grad","Environment & Sustainability","Saskatchewan","15-30 minutes",23.5,1,690,"2036","ENV-G-001"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",21,0,700,"2024","ASC-U-001"
"Med Residents","Medicine","Saskatchewan","more than 45 minutes",33.5,0,680,"0009","MED-M-008"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",28,1,630,"1053","ENG-U-019"
"Undergrad","Business","Saskatchewan","15-30 minutes",23,0,490,"2025","BUS-U-032"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",36.5,0,870,"2035","ENG-U-010"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",26,0,620,"1018","ASC-U-043"
"Undergrad","Arts and Science","International","15-30 minutes",32.5,1,810,"2012","ASC-U-094"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",40.5,0,810,"0022","ASC-U-002"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",25,1,720,"2016","ASC-U-012"
"Grad","Medicine","Saskatchewan","30-45 minutes",23,0,560,"1035","MED-G-004"
"Grad","Nursing","Out of Province","30-45 minutes",24,0,500,"1026","NUR-G-002"
"Undergrad","Arts and Science","Out of Province","15-30 minutes",27.5,0,660,"2022","ASC-U-096"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",34,0,790,"0004","ASC-U-102"
"Med Residents","Medicine","Saskatchewan","30-45 minutes",25.5,1,700,"1040","MED-M-005"
"Undergrad","Business","Saskatchewan","15-30 minutes",35.5,1,1610,"2016","BUS-U-015"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",28,0,800,"1034","ASC-U-045"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",40,0,780,"1017","ASC-U-100"
"Undergrad","Business","Saskatchewan","less than 15 minutes",19.5,0,490,"3010","BUS-U-028"
"Undergrad","Business","Saskatchewan","30-45 minutes",38.5,0,750,"1044","BUS-U-032"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",42.5,0,1030,"1046","ASC-U-058"
"Grad","Public Policy","Saskatchewan","more than 45 minutes",36,0,680,"0022","POL-G-001"
"Undergrad","Business","Saskatchewan","less than 15 minutes",24.5,1,800,"3007","BUS-U-009"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",47,0,800,"1030","ASC-U-016"
"Undergrad","Education","Saskatchewan","more than 45 minutes",26.5,0,510,"0014","EDU-U-007"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",28.5,0,550,"2037","ASC-U-104"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",35.5,0,870,"2017","ENG-U-021"
"Undergrad","Education","Out of Province","15-30 minutes",16,0,510,"2029","EDU-U-012"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",25.5,0,540,"1047","ASC-U-033"
"Undergrad","Kinesiology","Out of Province","15-30 minutes",30.5,1,650,"2003","KIN-U-010"
"Undergrad","Business","Saskatchewan","30-45 minutes",29,1,740,"1042","BUS-U-015"
"Undergrad","Business","Out of Province","less than 15 minutes",30,1,1200,"3007","BUS-U-005"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",32,0,650,"1029","ENG-U-006"
"Grad","Environment & Sustainability","Saskatchewan","15-30 minutes",33.5,0,850,"2022","ENV-G-003"
"Undergrad","Veterinary Medicine","Out of Province","30-45 minutes",32,0,630,"1053","VET-U-001"
"Undergrad","Education","Saskatchewan","more than 45 minutes",35.5,0,750,"0008","EDU-U-005"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",19,0,370,"2016","ASC-U-092"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",31,1,800,"0003","ASC-U-045"
"Grad","Environment & Sustainability","Saskatchewan","30-45 minutes",34.5,1,870,"1037","ENV-G-002"
"Undergrad","Arts and Science","Out of Province","more than 45 minutes",44.5,0,860,"0006","ASC-U-084"
"Undergrad","Education","Saskatchewan","30-45 minutes",27.5,1,730,"1007","EDU-U-015"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",52.5,1,1500,"0008","ASC-U-073"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",49.5,0,1100,"3009","ASC-U-117"
"Grad","Arts and Science","International","30-45 minutes",26,1,780,"1030","ASC-G-001"
"Undergrad","Education","Saskatchewan","30-45 minutes",40.5,0,720,"1012","EDU-U-022"
"Undergrad","Arts and Science","Saskatchewan","more than 45 minutes",32.5,0,760,"0001","ASC-U-074"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",37,1,840,"1045","ASC-U-052"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30.5,1,1010,"1002","ASC-U-081"
"Undergrad","Arts and Science","International","15-30 minutes",31.5,0,830,"2015","ASC-U-046"
"Undergrad","Education","Saskatchewan","less than 15 minutes",37,0,1130,"3005","EDU-U-024"
"Undergrad","Business","Saskatchewan","30-45 minutes",32,1,630,"1052","BUS-U-037"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",15,0,610,"1008","ASC-U-034"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",29,0,500,"1007","ASC-U-101"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",27,0,640,"1036","ASC-U-084"
"Grad","Public Health","Saskatchewan","less than 15 minutes",13.5,1,740,"3007","HEA-G-002"
"Undergrad","Kinesiology","International","30-45 minutes",35,0,830,"1011","KIN-U-007"
"Undergrad","Business","Saskatchewan","15-30 minutes",30,1,1150,"2016","BUS-U-004"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",31,0,490,"1051","ASC-U-002"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",22.5,0,500,"1031","ASC-U-081"
"Undergrad","Engineering","International","more than 45 minutes",27.5,0,510,"0004","ENG-U-022"
"Undergrad","Engineering","Saskatchewan","15-30 minutes",23.5,1,770,"2028","ENG-U-019"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",21,0,510,"3003","ASC-U-007"
"Undergrad","Medicine","Saskatchewan","more than 45 minutes",24.5,0,650,"0013","MED-U-005"
"Grad","Public Policy","Saskatchewan","30-45 minutes",36.5,0,740,"1032","POL-G-003"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",50,1,1150,"1035","ASC-U-086"
"Grad","Environment & Sustainability","Saskatchewan","more than 45 minutes",27.5,1,530,"0008","ENV-G-003"
"Undergrad","Arts and Science","Out of Province","less than 15 minutes",31.5,0,1110,"3009","ASC-U-131"
"Undergrad","Arts and Science","International","less than 15 minutes",29,0,790,"3008","ASC-U-083"
"Grad","Nursing","International","more than 45 minutes",30.5,0,710,"0008","NUR-G-001"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",46,1,1030,"1007","ASC-U-110"
"Grad","Business","Out of Province","30-45 minutes",33.5,1,760,"1021","BUS-G-002"
"Undergrad","Engineering","International","30-45 minutes",18,0,500,"1034","ENG-U-018"
"Undergrad","Business","Out of Province","less than 15 minutes",20,1,680,"3006","BUS-U-007"
"Undergrad","Business","Saskatchewan","15-30 minutes",24,0,630,"2012","BUS-U-019"
"Undergrad","Agriculture & Bioresources","Saskatchewan","30-45 minutes",26,1,740,"1047","AGR-U-010"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",18,0,490,"1040","KIN-U-008"
"Undergrad","Business","Saskatchewan","more than 45 minutes",29,1,700,"0013","BUS-U-009"
"Undergrad","Engineering","Saskatchewan","30-45 minutes",31.5,0,500,"1047","ENG-U-017"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",29,1,1930,"3006","ASC-U-029"
"Undergrad","Arts and Science","Out of Province","30-45 minutes",29,0,510,"1006","ASC-U-029"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",36,1,1200,"1031","KIN-U-007"
"Undergrad","Education","Saskatchewan","30-45 minutes",37,0,840,"1034","EDU-U-003"
"Undergrad","Medicine","Saskatchewan","30-45 minutes",17,0,420,"1015","MED-U-003"
"Undergrad","Arts and Science","Saskatchewan","15-30 minutes",33.5,1,890,"2013","ASC-U-033"
"Undergrad","Business","Saskatchewan","30-45 minutes",45.5,0,720,"1046","BUS-U-037"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",30,0,660,"1042","ASC-U-058"
"Undergrad","Arts and Science","International","15-30 minutes",29,0,460,"2028","ASC-U-062"
"Undergrad","Business","Out of Province","30-45 minutes",33.5,1,700,"1001","BUS-U-017"
"Grad","Agriculture & Bioresources","Saskatchewan","more than 45 minutes",53.5,0,880,"0021","AGR-G-003"
"Undergrad","Kinesiology","Saskatchewan","30-45 minutes",39.5,0,840,"1021","KIN-U-007"
"Grad","Arts and Science","Out of Province","less than 15 minutes",29,0,840,"3006","ASC-G-015"
"Undergrad","Arts and Science","Saskatchewan","less than 15 minutes",21,0,360,"3004","ASC-U-019"
"Undergrad","Arts and Science","Saskatchewan","30-45 minutes",22,1,570,"1026","ASC-U-046"
